VCollabPro X,24.1,Build # 5.2.124.102 (64-bit),[2024-04-18 12:26:06] 
SourceImagePath,image 
OutputImagePath,OutputImage 
VCT_PYTools_FN_1,Report views -Hotspot Views with User Specified Viewpath Name,PASS
VCT_PYTools_FN_2,Report views -A New Viewpath is created,PASS
VCT_PYTools_FN_3,Report views -Appending Views to Same Viewpath,PASS
VCT_PYTools_FN_4,Report views-Hotspot Views with user specified no.of HotSpots,PASS
VCT_PYTools_FN_5,Report views - No.of HotSpots More Than 50,PASS
VCT_PYTools_FN_6,Report views - Only one Hotspot is created in the viewpoint,PASS
VCT_PYTools_FN_7,Report views - Hotspot Views Deleting Existing Views,PASS
VCT_PYTools_FN_8,Report views - Hotspot Views is appended to the same viewpath,PASS
VCT_PYTools_FN_12,Report views - Hotspot Views for Selected Result,FAIL
VCT_PYTools_FN_15,Report views - Hotspot Views Save LoadCase Cax,FAIL
VCT_File_1,Open CAX File,FAIL
